+--------------+------------------------+------------------------------------------------------------------------------------------+
|  columnname  |       metricname       |                                       metricvalue                                        |
+--------------+------------------------+------------------------------------------------------------------------------------------+
| id           | COLUMN_DATATYPE        | IntegerType                                                                              |
| id           | COLUMN_NULLABLE        | true                                                                                     |
| id           | COLUMN_METADATA        | {}                                                                                       |
| id           | NULL_COUNT             | 0                                                                                        |
| id           | TOTAL_COUNT            | 10                                                                                       |
| id           | UNIQUE_COUNT           | 10                                                                                       |
| id           | PERC_NULL_VALUES       | 0                                                                                        |
| id           | PERC_UNIQUE_VALUES     | 100                                                                                      |
| id           | PERC_DUPLICATE_VALUES  | 0                                                                                        |
| id           | TOP_N_VALUES           | 1^A2^A1^B2^A4^A1^B3^A3^A1^B                                                              |
| id           | MAX                    | 10                                                                                       |
| id           | MIN                    | 1                                                                                        |
| id           | SUM                    | 55                                                                                       |
| id           | MEAN                   | 5.5                                                                                      |
| id           | STDDEV                 | 2.8723                                                                                   |
| id           | VARIANCE               | 8.25                                                                                     |
| firstname    | COLUMN_DATATYPE        | StringType                                                                               |
| firstname    | COLUMN_NULLABLE        | true                                                                                     |
| firstname    | COLUMN_METADATA        | {}                                                                                       |
| firstname    | NULL_COUNT             | 0                                                                                        |
| firstname    | TOTAL_COUNT            | 10                                                                                       |
| firstname    | UNIQUE_COUNT           | 4                                                                                        |
| firstname    | PERC_NULL_VALUES       | 0                                                                                        |
| firstname    | PERC_UNIQUE_VALUES     | 40                                                                                       |
| firstname    | PERC_DUPLICATE_VALUES  | 60                                                                                       |
| firstname    | TOP_N_VALUES           | 1^AJon^A4^B2^ARachael^A3^B3^A^A2^B                                                       |
| firstname    | MAX_LENGTH             | 9                                                                                        |
| firstname    | MIN_LENGTH             | 3                                                                                        |
| firstname    | LONGEST_STRING         | Elizabeth                                                                                |
| firstname    | SHORTEST_STRING        | Jon                                                                                      |
| firstname    | EMPTY_COUNT            | 2                                                                                        |
| firstname    | PERC_EMPTY_VALUES      | 20                                                                                       |
| firstname    | MIN_STRING_CASE        | Elizabeth                                                                                |
| firstname    | MAX_STRING_CASE        | Rachael                                                                                  |
